"Transaction Description,Amount (GBP),Category"
"Whole Foods Market - Grocery Shopping,50.75,""Groceries"""
"ATM Withdrawal - XYZ Bank Branch,100.00,""Cash Withdrawal"""
"Direct Deposit - Your Company Payroll,2000.00,""Income"""
"Verizon Wireless - Monthly Phone Bill,75.50,""Utilities"""
"Transfer from Savings to Checking - Emergency Fund,500.00,""Transfers"""
"Chase Credit Card Payment - Visa **** 1234,350.25,""Credit Card Payment"""
"Savings Account Interest - October,15.60,""Interest"""
"Rent Payment - Apt #203,1200.00,""Housing"""
"Amazon.com - Online Shopping,89.99,""Online Shopping"""
"Monthly Service Fee - Checking Account Maintenance,10.00,""Bank Fees"""
"Walmart - Household Supplies,75.20,""Groceries"""
"ATM Withdrawal - ABC Bank ATM,60.00,""Cash Withdrawal"""
"Gas Station - Fuel Purchase,40.45,""Transportation"""
"Netflix Subscription - Monthly Charge,12.99,""Streaming Services"""
"Transfer to Savings Account - Rainy Day Fund,300.00,""Transfers"""
"Credit Card Payment - Mastercard **** 5678,150.00,""Credit Card Payment"""
"Electricity Bill Payment - Utility Co.,85.00,""Utilities"""
"Dining Out - Restaurant Name,65.75,""Dining Out"""
"Paycheck Deposit - Your Employer,2500.00,""Income"""
"Internet Service Payment - Provider Name,70.00,""Utilities"""
"Pharmacy - Prescription Medications,30.80,""Healthcare"""
"ATM Withdrawal - DEF Bank ATM,80.00,""Cash Withdrawal"""
"Grocery Store - Weekly Shopping,90.25,""Groceries"""
"Transfer from Checking to Savings,200.00,""Transfers"""
"Credit Card Payment - Discover **** 9012,120.50,""Credit Card Payment"""
"Monthly Service Fee - Account Maintenance,10.00,""Bank Fees"""
"Home Depot - Home Improvement,110.30,""Home Improvement"""
"Mobile Phone Bill - Service Provider,50.00,""Utilities"""
"Car Loan Payment - Auto Finance Inc.,300.00,""Loan Payment"""
"Coffee Shop - Morning Brew,5.25,""Dining Out"""
"Paycheck Deposit - Company Name,2400.00,""Income"""
"Online Retailer - Clothing Purchase,70.99,""Online Shopping"""
"Transfer to Investment Account,500.00,""Transfers"""
"Gas Station - Fuel Purchase,45.60,""Transportation"""
"Credit Card Payment - American Express **** 3456,200.00,""Credit Card Payment"""
"Water Bill Payment - Municipality,60.75,""Utilities"""
"Restaurant - Dinner with Friends,100.00,""Dining Out"""
"ATM Withdrawal - GHI Bank ATM,60.00,""Cash Withdrawal"""
"Amazon Prime Membership Renewal,12.99,""Online Shopping"""
"Transfer from Savings to Checking,300.00,""Transfers"""
"Doctor's Office - Medical Consultation,75.00,""Healthcare"""
"Monthly Service Fee - Bank Account,10.00,""Bank Fees"""
"Electronics Store - Gadget Purchase,250.50,""Electronics"""
"Charitable Donation - Charity Name,50.00,""Charity"""
"Grocery Store - Fresh Produce,35.45,""Groceries"""
"ATM Withdrawal - JKL Bank ATM,100.00,""Cash Withdrawal"""
"Netflix Subscription - Monthly Charge,12.99,""Streaming Services"""
"Transfer to Emergency Fund,200.00,""Transfers"""
"Credit Card Payment - Visa **** 7890,75.25,""Credit Card Payment"""
"Utilities Payment - Gas and Electric,95.00,""Utilities"""
"Fast Food - Lunch on the Go,15.20,""Dining Out"""
"Paycheck Deposit - Your Company Payroll,2600.00,""Income"""
"Online Retailer - Electronics Purchase,199.99,""Online Shopping"""
"Transfer to Vacation Fund,300.00,""Transfers"""
"Gas Station - Fuel Purchase,40.75,""Transportation"""
"Credit Card Payment - Mastercard **** 2345,125.50,""Credit Card Payment"""
"Phone Bill Payment - Wireless Provider,70.00,""Utilities"""
"Pharmacy - Prescription Medications,28.60,""Healthcare"""
"ATM Withdrawal - MNO Bank ATM,80.00,""Cash Withdrawal"""
"Grocery Store - Household Supplies,60.25,""Groceries"""
"Transfer from Checking to Savings,150.00,""Transfers"""
"Amazon.com - Online Shopping,120.99,""Online Shopping"""
"Monthly Service Fee - Account Maintenance,10.00,""Bank Fees"""
"Home Improvement Store - DIY Supplies,75.40,""Home Improvement"""
"Car Loan Payment - Auto Finance Inc.,300.00,""Loan Payment"""
"Coffee Shop - Morning Brew,4.75,""Dining Out"""
"Paycheck Deposit - Company Name,2300.00,""Income"""
"Online Retailer - Clothing Purchase,80.99,""Online Shopping"""
"Transfer to Investment Account,400.00,""Transfers"""
"Gas Station - Fuel Purchase,43.60,""Transportation"""
"Credit Card Payment - American Express **** 6789,180.00,""Credit Card Payment"""
"Water Bill Payment - Municipality,65.75,""Utilities"""
"Restaurant - Dinner with Friends,90.00,""Dining Out"""
"ATM Withdrawal - PQR Bank ATM,70.00,""Cash Withdrawal"""
"Amazon Prime Membership Renewal,12.99,""Online Shopping"""
"Transfer from Savings to Checking,250.00,""Transfers"""
"Doctor's Office - Medical Consultation,65.00,""Healthcare"""
"Monthly Service Fee - Bank Account,10.00,""Bank Fees"""
"Electronics Store - Gadget Purchase,180.75,""Electronics"""
